*Fecha de Pago,*Forma de Pago,*Monto,*Moneda,*Tipo de cambio del dia del pago para moneda del pago,Tipo de cambio del dia del pago para moneda del documento relacionado,*Numero de Operacion,Banco Ordenante,Banco Beneficiario,*Numero de Parcialidad,*Serie de la Factura,*Folio de la Factura,Importe Pagado,Importe Saldo Anterior,Importe Saldo Insoluto
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79848,524.99,524.99,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79849,524.99,524.99,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79850,348.43,348.43,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79851,228.43,228.43,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79858,2132.19,2132.19,0
23/11/2020,17,1201286.89,USD,20.1172,21.227366,,,,1,FAC,79859,80,80,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79860,640.36,640.36,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79861,444.54,444.54,0
23/11/2020,17,1201286.89,USD,20.1172,22.430074,,,,1,FAC,79862,540.62,540.62,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79863,320.4,320.4,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79865,898.72,898.72,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79866,2067.21,2067.21,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79867,459.12,459.12,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79868,1752.86,1752.86,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79870,1943.94,1943.94,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79871,230,230,0
23/11/2020,17,1201286.89,USD,20.1172,22.430074,,,,1,FAC,79877,617.3,617.3,0
23/11/2020,17,1201286.89,USD,20.1172,22.430074,,,,1,FAC,79885,94.98,94.98,0
23/11/2020,17,1201286.89,USD,20.1172,21.919730,,,,1,FAC,79892,875,875,0
